Algoritmo,Iteraciones,Largo del Camino (km),Velocidad Promedio (km/h),Tiempo de Viaje (min),Tiempo Total (s)
dijkstra,1908,4.440816999999998,42.5,6.269388705882351,0.03641343116760254
a_star,824,4.235050000000001,41.09090909090909,6.183922566371683,0.026229143142700195
dijkstra,2240,4.167704000000001,40.0,6.2515560000000026,0.04002261161804199
a_star,480,4.167704000000001,40.0,6.2515560000000026,0.021086931228637695
dijkstra,3587,8.891210000000003,40.33057851239669,13.227496844262301,0.053282737731933594
a_star,2092,9.105906000000001,40.175438596491226,13.599213327510919,0.04329490661621094
dijkstra,3769,8.490012999999998,47.16981132075472,10.799296535999996,0.0582737922668457
a_star,2024,8.464323999999998,46.9811320754717,10.809859566265057,0.04335498809814453
dijkstra,3596,10.127916000000003,51.65217391304348,11.764750909090912,0.05653858184814453
a_star,1720,9.746101000000007,49.747899159663866,11.754588030405413,0.03810238838195801
dijkstra,1205,4.051805000000001,40.0,6.077707500000001,0.027232885360717773
a_star,129,4.051805000000001,40.0,6.077707500000001,0.0156402587890625
dijkstra,320,3.757847000000001,40.0,5.636770500000001,0.020386695861816406
a_star,99,3.757847000000001,40.0,5.636770500000001,0.0169069766998291
dijkstra,2103,3.3569369999999994,40.869565217391305,4.928269212765956,0.03622698783874512
a_star,532,3.331248,40.43478260869565,4.943142193548388,0.02089071273803711
dijkstra,2007,4.847798999999999,40.0,7.271698499999999,0.0356144905090332
a_star,512,4.847798999999999,40.0,7.271698499999999,0.02239370346069336
dijkstra,3869,6.030075000000001,40.0,9.045112500000002,0.05759453773498535
a_star,1091,6.030075000000001,40.0,9.045112500000002,0.02895045280456543
dijkstra,905,4.827965,40.0,7.241947499999999,0.024177074432373047
a_star,221,4.827965,40.0,7.241947499999999,0.01839733123779297
dijkstra,3311,5.327955000000001,40.0,7.991932500000002,0.05070924758911133
a_star,615,5.327955000000001,40.0,7.991932500000002,0.022970199584960938
dijkstra,683,2.200114,40.0,3.300171,0.021546363830566406
a_star,176,2.200114,40.0,3.300171,0.017995595932006836
dijkstra,795,4.0342150000000006,40.0,6.0513225,0.02233147621154785
a_star,210,4.469194,40.0,6.703791,0.018961429595947266
dijkstra,4317,11.971945999999994,50.495049504950494,14.22548877647058,0.05922532081604004
a_star,3399,11.963617000000003,48.0,14.954521250000003,0.05248761177062988
dijkstra,2803,11.582012999999996,41.73076923076923,16.652479520737323,0.04493117332458496
a_star,1670,11.335229999999994,40.76190476190476,16.6850348130841,0.03435993194580078
dijkstra,2051,5.291508000000002,48.641975308641975,6.527088548223353,0.03835868835449219
a_star,817,5.291508000000002,48.641975308641975,6.527088548223353,0.024369239807128906
dijkstra,2481,5.229705000000003,40.98360655737705,7.656288120000005,0.04042363166809082
a_star,627,5.229705000000003,40.98360655737705,7.656288120000005,0.030329227447509766
dijkstra,3473,7.461513000000002,44.21686746987952,10.124886850136242,0.054125070571899414
a_star,1466,7.640051000000002,44.26829268292683,10.355110446280996,0.03265643119812012
dijkstra,2444,4.780410000000001,48.333333333333336,5.9343020689655175,0.039078712463378906
a_star,839,4.780410000000001,48.333333333333336,5.9343020689655175,0.025325298309326172
dijkstra,3631,10.739452999999987,51.857142857142854,12.425813388429738,0.051792144775390625
a_star,2365,10.631138999999992,50.869565217391305,12.539292153846144,0.043325185775756836
dijkstra,722,1.881727,40.0,2.8225905,0.022969484329223633
a_star,161,1.881727,40.0,2.8225905,0.020261287689208984
dijkstra,3596,6.681972999999998,56.470588235294116,7.099596312499998,0.050519704818725586
a_star,405,6.681972999999998,56.470588235294116,7.099596312499998,0.019754886627197266
dijkstra,403,1.2464689999999996,40.0,1.8697034999999995,0.018605709075927734
a_star,97,1.2464689999999996,40.0,1.8697034999999995,0.016717195510864258
dijkstra,3834,5.973364999999998,42.03389830508475,8.526496814516126,0.05355095863342285
a_star,1150,5.775746,40.65573770491803,8.52388320967742,0.02918529510498047
dijkstra,2402,6.0419209999999985,44.794520547945204,8.092848311926604,0.04113292694091797
a_star,1155,6.0419209999999985,44.794520547945204,8.092848311926604,0.028835535049438477
dijkstra,3097,4.686204,40.0,7.029306,0.047636985778808594
a_star,470,4.686204,40.0,7.029306,0.02209949493408203
dijkstra,691,3.1944049999999997,40.714285714285715,4.707544210526315,0.021387577056884766
a_star,129,3.087076,40.0,4.6306140000000005,0.016719818115234375
dijkstra,4397,17.364616000000005,50.89108910891089,20.47267956420234,0.06095170974731445
a_star,3128,17.364616000000005,50.89108910891089,20.47267956420234,0.050657033920288086
dijkstra,1399,2.9640319999999996,40.0,4.446047999999999,0.030999183654785156
a_star,368,2.9699569999999995,40.0,4.4549354999999995,0.0198667049407959
dijkstra,3646,9.200162999999998,46.972477064220186,11.751770707031248,0.051445722579956055
a_star,2825,9.094693999999995,43.490566037735846,12.54712664642082,0.04929184913635254
dijkstra,1802,4.582366,49.21052631578947,5.587055871657754,0.033252716064453125
a_star,1061,4.461328000000001,40.0,6.691992000000002,0.027305126190185547
dijkstra,333,1.081537,40.0,1.6223055,0.017288923263549805
a_star,58,1.081537,40.0,1.6223055,0.015923261642456055
dijkstra,1314,6.949099999999999,46.25,9.015048648648648,0.02759838104248047
a_star,565,6.698654999999999,40.18518518518518,10.001678433179723,0.02261805534362793
